ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code,class
KNYL,medium_airport,Yuma International Airport / Marine Corps Air Station Yuma,32.656601,-114.606003,US,Arizona,AZ,Yuma,NYL,Military
KSPS,medium_airport,Sheppard Air Force Base / Wichita Falls Municipal Airport,33.9888,-98.491898,US,Texas,TX,Wichita Falls,SPS,Military
KSKF,medium_airport,Lackland Air Force Base,29.38419914,-98.58110046,US,Texas,TX,San Antonio,SKF,Military
PAED,medium_airport,Elmendorf Air Force Base,61.251709,-149.807097,US,Alaska,AK,Anchorage,EDF,Military
KFFO,medium_airport,Wright-Patterson Air Force Base,39.826099,-84.048302,US,Ohio,OH,Dayton,FFO,Military
KSUU,medium_airport,Travis Air Force Base,38.262699,-121.927002,US,California,CA,Fairfield,SUU,Military
KFHU,medium_airport,Sierra Vista Municipal Airport / Libby Army Air Field,31.587383,-110.348225,US,Arizona,AZ,Fort Huachuca / Sierra Vista,FHU,Military
KLSV,medium_airport,Nellis Air Force Base,36.23619843,-115.0339966,US,Nevada,NV,Las Vegas,LSV,Military
KTCM,medium_airport,McChord Air Force Base,47.137699,-122.475998,US,Washington,WA,Tacoma,TCM,Military
KNKX,medium_airport,Miramar Marine Corps Air Station - Mitscher Field,32.86840057,-117.1429977,US,California,CA,San Diego,NKX,Military
KNZY,medium_airport,North Island Naval Air Station-Halsey Field,32.69919968,-117.2149963,US,California,CA,San Diego,NZY,Military
KDOV,medium_airport,Dover Air Force Base,39.129501,-75.466003,US,Delaware,DE,Dover,DOV,Military
KECG,medium_airport,Elizabeth City Regional Airport & Coast Guard Air Station,36.260601,-76.174599,US,North Carolina,NC,Elizabeth City,ECG,Military
KDMA,medium_airport,Davis Monthan Air Force Base,32.16650009,-110.8830032,US,Arizona,AZ,Tucson,DMA,Military
KGRK,medium_airport,Killeen-Fort Hood Regional Airport / Robert Gray Army Air Field,31.0672,-97.828903,US,Texas,TX,Killeen,GRK,Military
KNPA,medium_airport,Naval Air Station Pensacola Forrest Sherman Field,30.352699,-87.318604,US,Florida,FL,Pensacola,NPA,Military
KNIP,medium_airport,Jacksonville Naval Air Station (Towers Field),30.2358,-81.680603,US,Florida,FL,Jacksonville,NIP,Military
KMCF,medium_airport,Mac Dill Air Force Base,27.8493,-82.521202,US,Florida,FL,Tampa,MCF,Military
KLRF,medium_airport,Little Rock Air Force Base,34.91690063,-92.14969635,US,Arkansas,AR,Jacksonville,LRF,Military
KCOF,medium_airport,Patrick Air Force Base,28.23489952,-80.61009979,US,Florida,FL,Cocoa Beach,COF,Military
KTIK,medium_airport,Tinker Air Force Base,35.4147,-97.386597,US,Oklahoma,OK,Oklahoma City,TIK,Military
KIAB,medium_airport,Mc Connell Air Force Base,37.62189865,-97.26820374,US,Kansas,KS,Wichita,IAB,Military
KNGP,medium_airport,Corpus Christi Naval Air Station/Truax Field,27.69260025,-97.29109955,US,Texas,TX,Corpus Christi,NGP,Military
KOFF,medium_airport,Offutt Air Force Base,41.11830139,-95.91249847,US,Nebraska,NE,Omaha,OFF,Military
KNQX,medium_airport,Naval Air Station Key West/Boca Chica Field,24.57579994,-81.68890381,US,Florida,FL,Key West,NQX,Military
KEDW,medium_airport,Edwards Air Force Base,34.905399,-117.884003,US,California,CA,Edwards,EDW,Military
KMIB,medium_airport,Minot Air Force Base,48.4156,-101.358002,US,North Dakota,ND,Minot,MIB,Military
KWRI,medium_airport,Mc Guire Air Force Base,40.0155983,-74.59169769,US,New Jersey,NJ,Wrightstown,WRI,Military
KBIX,medium_airport,Keesler Air Force Base,30.41040039,-88.92440033,US,Mississippi,MS,Biloxi,BIX,Military
KLSF,medium_airport,Lawson Army Air Field (Fort Benning),32.33729935,-84.99130249,US,Georgia,GA,Fort Benning(Columbus),LSF,Military
PAEI,medium_airport,Eielson Air Force Base,64.66570282,-147.102005,US,Alaska,AK,Fairbanks,EIL,Military
KDYS,medium_airport,Dyess Air Force Base,32.420799,-99.854599,US,Texas,TX,Abilene,DYS,Military
KLTS,medium_airport,Altus Air Force Base,34.667099,-99.266701,US,Oklahoma,OK,Altus,LTS,Military
KBAD,medium_airport,Barksdale Air Force Base,32.501801,-93.662697,US,Louisiana,LA,Bossier City,BAD,Military
KDLF,medium_airport,Laughlin Air Force Base,29.359501,-100.778002,US,Texas,TX,Del Rio,DLF,Military
KLFI,medium_airport,Langley Air Force Base,37.082901,-76.360497,US,Virginia,VA,Hampton,LFI,Military
KPAM,medium_airport,Tyndall Air Force Base,30.069599,-85.575401,US,Florida,FL,Panama City,PAM,Military
KSKA,medium_airport,Fairchild Air Force Base,47.615101,-117.655998,US,Washington,WA,Spokane,SKA,Military
KWRB,medium_airport,Robins Air Force Base,32.640099,-83.591904,US,Georgia,GA,Warner Robins,WRB,Military
KRCA,medium_airport,Ellsworth Air Force Base,44.14500046,-103.1039963,US,South Dakota,SD,Rapid City,RCA,Military
KNTD,medium_airport,Point Mugu Naval Air Station (Naval Base Ventura Co),34.12030029,-119.1210022,US,California,CA,Point Mugu,NTD,Military
KSVN,medium_airport,Hunter Army Air Field,32.00999832,-81.14569855,US,Georgia,GA,Savannah,SVN,Military
KBIF,medium_airport,Biggs Army Air Field (Fort Bliss),31.84950066,-106.3799973,US,Texas,TX,Fort Bliss/El Paso,BIF,Military
KNDZ,medium_airport,Whiting Field Naval Air Station South Airport,30.70439911,-87.02300262,US,Florida,FL,Milton,NDZ,Military
KHMN,medium_airport,Holloman Air Force Base,32.852501,-106.107002,US,New Mexico,NM,Alamogordo,HMN,Military
KCVS,medium_airport,Cannon Air Force Base,34.382801,-103.321999,US,New Mexico,NM,Clovis,CVS,Military
KCBM,medium_airport,Columbus Air Force Base,33.643799,-88.443802,US,Mississippi,MS,Columbus,CBM,Military
KLUF,medium_airport,Luke Air Force Base,33.535,-112.383003,US,Arizona,AZ,Glendale,LUF,Military
KRND,medium_airport,Randolph Air Force Base,29.529699,-98.2789,US,Texas,TX,Universal City,RND,Military
KHIF,medium_airport,Hill Air Force Base,41.12403,-111.973086,US,Utah,UT,Ogden,HIF,Military
KRDR,medium_airport,Grand Forks Air Force Base,47.96110153,-97.40119934,US,North Dakota,ND,Grand Forks,RDR,Military
KSLI,medium_airport,Los Alamitos Army Air Field,33.79000092,-118.052002,US,California,CA,Los Alamitos,SLI,Military
KEND,medium_airport,Vance Air Force Base,36.339199,-97.916496,US,Oklahoma,OK,Enid,END,Military
KSSC,medium_airport,Shaw Air Force Base,33.972698,-80.470596,US,South Carolina,SC,Sumter,SSC,Military
KMXF,medium_airport,Maxwell Air Force Base,32.3829,-86.365799,US,Alabama,AL,Montgomery,MXF,Military
KFBG,medium_airport,Simmons Army Air Field,35.13180161,-78.93669891,US,North Carolina,NC,Fort Bragg,FBG,Military
KNLC,medium_airport,Lemoore Naval Air Station (Reeves Field) Airport,36.33300018,-119.9520035,US,California,CA,Lemoore,NLC,Military
KNUW,medium_airport,Whidbey Island Naval Air Station (Ault Field),48.351799,-122.655998,US,Washington,WA,Oak Harbor,NUW,Military
KNHK,medium_airport,Patuxent River Naval Air Station (Trapnell Field),38.285999,-76.411797,US,Maryland,MD,Patuxent River,NHK,Military
KNTU,medium_airport,Oceana Naval Air Station,36.820702,-76.033501,US,Virginia,VA,Virginia Beach,NTU,Military
KMUO,medium_airport,Mountain Home Air Force Base,43.043598,-115.872002,US,Idaho,ID,Mountain Home,MUO,Military
KGRF,medium_airport,Gray Army Air Field,47.07920074,-122.5810013,US,Washington,WA,Fort Lewis/Tacoma,GRF,Military
KNQI,medium_airport,Kingsville Naval Air Station,27.50720024,-97.80970001,US,Texas,TX,Kingsville,NQI,Military
KESF,medium_airport,Esler Army Airfield / Esler Regional Airport,31.394266,-92.294082,US,Louisiana,LA,Alexandria,ESF,Military
PABI,medium_airport,Allen Army Airfield,63.99449921,-145.7220001,US,Alaska,AK,Delta Junction Ft Greely,BIG,Military
KNFL,medium_airport,Fallon Naval Air Station,39.41659927,-118.7009964,US,Nevada,NV,Fallon,NFL,Military
