ident,type,name,latitude2,longitude2,iso_country,region_name,local_region,municipality,local_code
KLAX,large_airport,Los Angeles International Airport,33.942501,-118.407997,US,California,CA,Los Angeles,LAX
KORD,large_airport,Chicago O'Hare International Airport,41.9786,-87.9048,US,Illinois,IL,Chicago,ORD
KJFK,large_airport,John F Kennedy International Airport,40.639801,-73.7789,US,New York,NY,New York,JFK
KATL,large_airport,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,US,Georgia,GA,Atlanta,ATL
KSFO,large_airport,San Francisco International Airport,37.61899948,-122.375,US,California,CA,San Francisco,SFO
KDFW,large_airport,Dallas Fort Worth International Airport,32.896801,-97.038002,US,Texas,TX,Dallas-Fort Worth,DFW
KEWR,large_airport,Newark Liberty International Airport,40.692501,-74.168701,US,New Jersey,NJ,New York,EWR
KLAS,large_airport,McCarran International Airport,36.08010101,-115.1520004,US,Nevada,NV,Las Vegas,LAS
KMCO,large_airport,Orlando International Airport,28.42939949,-81.30899811,US,Florida,FL,Orlando,MCO
KDEN,large_airport,Denver International Airport,39.86169815,-104.6729965,US,Colorado,CO,Denver,DEN
KLGA,large_airport,La Guardia Airport,40.777199,-73.872597,US,New York,NY,New York,LGA
KMIA,large_airport,Miami International Airport,25.79319954,-80.29060364,US,Florida,FL,Miami,MIA
KIAD,large_airport,Washington Dulles International Airport,38.9445,-77.455803,US,Virginia,VA,"Washington, DC",IAD
KPHX,large_airport,Phoenix Sky Harbor International Airport,33.435302,-112.005905,US,Arizona,AZ,Phoenix,PHX
KBOS,large_airport,Logan International Airport,42.3643,-71.005203,US,Massachusetts,MA,Boston,BOS
KSEA,large_airport,Seattle Tacoma International Airport,47.449001,-122.308998,US,Washington,WA,Seattle,SEA
KPHL,large_airport,Philadelphia International Airport,39.87189865,-75.2410965,US,Pennsylvania,PA,Philadelphia,PHL
KIAH,large_airport,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,US,Texas,TX,Houston,IAH
KCLT,large_airport,Charlotte Douglas International Airport,35.2140007,-80.94309998,US,North Carolina,NC,Charlotte,CLT
KDTW,large_airport,Detroit Metropolitan Wayne County Airport,42.21239853,-83.35340118,US,Michigan,MI,Detroit,DTW
KDCA,large_airport,Ronald Reagan Washington National Airport,38.8521,-77.037697,US,District of Columbia,DC,Washington,DCA
KMSP,large_airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.882,-93.221802,US,Minnesota,MN,Minneapolis,MSP
KSLC,large_airport,Salt Lake City International Airport,40.785749,-111.979746,US,Utah,UT,Salt Lake City,SLC
KMDW,large_airport,Chicago Midway International Airport,41.785999,-87.752403,US,Illinois,IL,Chicago,MDW
KFLL,large_airport,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,US,Florida,FL,Fort Lauderdale,FLL
KSAN,large_airport,San Diego International Airport,32.73360062,-117.1900024,US,California,CA,San Diego,SAN
KBWI,large_airport,Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,US,Maryland,MD,Baltimore,BWI
KSTL,large_airport,St Louis Lambert International Airport,38.748697,-90.370003,US,Missouri,MO,St Louis,STL
PHNL,large_airport,Daniel K Inouye International Airport,21.32062,-157.924228,US,Hawaii,HI,Honolulu,HNL
KPDX,large_airport,Portland International Airport,45.58869934,-122.5979996,US,Oregon,OR,Portland,PDX
KMSY,large_airport,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,US,Louisiana,LA,New Orleans,MSY
KCVG,large_airport,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,US,Kentucky,KY,Cincinnati / Covington,CVG
KTPA,large_airport,Tampa International Airport,27.97550011,-82.53320313,US,Florida,FL,Tampa,TPA
KBNA,large_airport,Nashville International Airport,36.12450027,-86.67819977,US,Tennessee,TN,Nashville,BNA
KPIT,large_airport,Pittsburgh International Airport,40.49150085,-80.23290253,US,Pennsylvania,PA,Pittsburgh,PIT
KAUS,large_airport,Austin Bergstrom International Airport,30.197535,-97.662015,US,Texas,TX,Austin,AUS
KSJC,large_airport,Norman Y. Mineta San Jose International Airport,37.362598,-121.929001,US,California,CA,San Jose,SJC
KRDU,large_airport,Raleigh Durham International Airport,35.87760162,-78.78749847,US,North Carolina,NC,Raleigh/Durham,RDU
KOAK,large_airport,Metropolitan Oakland International Airport,37.721298,-122.221001,US,California,CA,Oakland,OAK
KSAT,large_airport,San Antonio International Airport,29.533701,-98.469803,US,Texas,TX,San Antonio,SAT
KMEM,large_airport,Memphis International Airport,35.04240036,-89.97669983,US,Tennessee,TN,Memphis,MEM
KMCI,large_airport,Kansas City International Airport,39.2976,-94.713898,US,Missouri,MO,Kansas City,MCI
KSNA,medium_airport,John Wayne Airport-Orange County Airport,33.675701,-117.867996,US,California,CA,Santa Ana,SNA
KHOU,medium_airport,William P Hobby Airport,29.645399,-95.2789,US,Texas,TX,Houston,HOU
KCLE,large_airport,Cleveland Hopkins International Airport,41.4117012,-81.84980011,US,Ohio,OH,Cleveland,CLE
KDAL,medium_airport,Dallas Love Field,32.847099,-96.851799,US,Texas,TX,Dallas,DAL
KIND,large_airport,Indianapolis International Airport,39.7173,-86.294403,US,Indiana,IN,Indianapolis,IND
KABQ,medium_airport,Albuquerque International Sunport,35.040199,-106.609001,US,New Mexico,NM,Albuquerque,ABQ
KMKE,large_airport,General Mitchell International Airport,42.94720078,-87.89659882,US,Wisconsin,WI,Milwaukee,MKE
